Best parameters set found on development set:
0.62172 (+/-0.033) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61467 (+/-0.030) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}
0.61093 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61093 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61071 (+/-0.047) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.045) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.047) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61049 (+/-0.045) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61027 (+/-0.046) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.61005 (+/-0.046) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
0.60850 (+/-0.042) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}
